event_date,firm,car,group,grp,direction,z
2021-02-10,KBC.BR,0.015585781498880994,bank,bank,1.0,0.48686960141089525
2021-02-10,EBS.VI,-0.011384947092413568,bank,bank,1.0,0.2976788742054292
2021-02-10,RBI.VI,0.002090888888046016,bank,bank,1.0,-0.1603862510250389
2021-02-10,BG.VI,0.03297677920649705,bank,bank,1.0,-0.23359860729761434
2021-02-10,BIRG.IR,0.0003663735651374903,bank,bank,1.0,1.1461139920025163
2021-02-10,A5G.IR,-0.02060903901726317,bank,bank,1.0,1.6694774266625145
2021-02-10,ETE.AT,-0.0011376340259300335,bank,bank,1.0,1.1896462862934265
2021-02-10,EUROB.AT,-0.01968765409651069,bank,bank,1.0,0.3949686796988067
2021-02-10,TPEIR.AT,-0.055331930324516145,bank,bank,1.0,1.3177710426531568
2021-02-10,BCP.LS,-0.04193705665753313,bank,bank,1.0,1.9115242988785415
2021-02-10,NEXI.MI,-0.007670693488517858,payments,payments,0.0,
2021-02-10,WLN.PA,0.028492913862110274,payments,payments,0.0,
2021-02-10,ADYEN.AS,0.09287276443362984,payments,payments,0.0,
2021-02-10,SWED-A.ST,0.005947468418184487,control_bank,control_bank,0.0,-1.1418669440853995
2021-02-10,SHB-A.ST,0.013314179952977415,control_bank,control_bank,0.0,-1.476933828719851
2021-02-10,DANSKE.CO,0.007231059755333497,control_bank,control_bank,0.0,-2.034052437497537
2021-02-10,DNB.OL,-0.02520608210762275,control_bank,control_bank,0.0,-0.9659534405231625
2021-02-10,LLOY.L,-0.006029031374536595,control_bank,control_bank,0.0,
2021-02-10,NWG.L,0.0042890914898764685,control_bank,control_bank,0.0,
2021-02-10,UBSG.SW,0.002479408840972526,control_bank,control_bank,0.0,
2021-02-10,MA,0.003698712907127491,payments,payments,0.0,
2021-02-10,V,0.0008086268587830954,payments,payments,0.0,
2021-02-10,AXP,0.011456626582577997,payments,payments,0.0,
2021-02-10,PYPL,0.00011721430007875745,payments,payments,0.0,
2021-02-10,GPN,-0.0032809658107648006,payments,payments,0.0,
2021-02-10,AAPL,-0.004348160947027464,device,gate,0.0,
2021-02-10,GOOGL,0.006372324978969882,device,gate,0.0,
2021-02-10,AMZN,-0.003607778986587429,bigtech,gate,0.0,
2021-02-10,META,0.010377979862287452,bigtech,gate,0.0,
2021-04-14,DBK.DE,0.009385308608917974,bank,bank,0.0,-1.5981878524090556
2021-04-14,CBK.DE,0.004218739900698017,bank,bank,0.0,-0.1969766074951668
2021-04-14,BNP.PA,0.0005683360580993778,bank,bank,0.0,-1.8277916820311226
2021-04-14,GLE.PA,0.0039082927778027,bank,bank,0.0,-1.8810103807023557
2021-04-14,ACA.PA,0.0008285203128026936,bank,bank,0.0,-0.430377884945561
2021-04-14,SAN.MC,0.00427093372742369,bank,bank,0.0,-0.6865870300483472
2021-04-14,BBVA.MC,0.008430459514023953,bank,bank,0.0,-0.5472047262920654
2021-04-14,CABK.MC,0.006668835525549265,bank,bank,0.0,0.6318798811046288
2021-04-14,SAB.MC,-0.0014553209398693503,bank,bank,0.0,0.2751144903870993
2021-04-14,BKT.MC,-0.00012349406975574115,bank,bank,0.0,0.4179464676689923
2021-04-14,UNI.MC,0.0058355056820716235,bank,bank,0.0,0.15978485614852456
2021-04-14,ISP.MI,-0.0015879038261604698,bank,bank,0.0,-0.3976038785149957
2021-04-14,UCG.MI,-0.01683234055837927,bank,bank,0.0,-0.6729346213298831
2021-04-14,BAMI.MI,-0.015765627279679444,bank,bank,0.0,-0.5474307600897961
2021-04-14,BPE.MI,-0.016190106790676086,bank,bank,0.0,0.4457023654474827
2021-04-14,MB.MI,-0.0057483373316960015,bank,bank,0.0,-1.913665771560751
2021-04-14,INGA.AS,0.016259265177800165,bank,bank,0.0,0.0804612861920478
2021-04-14,ABN.AS,0.012584631515849097,bank,bank,0.0,-0.12757135640344586
2021-04-14,KBC.BR,-0.0036351466618197385,bank,bank,0.0,0.48686960141089525
2021-04-14,EBS.VI,-0.01056636937301723,bank,bank,0.0,0.2976788742054292
2021-04-14,RBI.VI,-0.002191266045751957,bank,bank,0.0,-0.1603862510250389
2021-04-14,BG.VI,-0.0018880354370304393,bank,bank,0.0,-0.23359860729761434
2021-04-14,BIRG.IR,-0.016485240976056505,bank,bank,0.0,1.1461139920025163
2021-04-14,A5G.IR,-0.005859282453712403,bank,bank,0.0,1.6694774266625145
2021-04-14,ETE.AT,0.017027624776348785,bank,bank,0.0,1.1896462862934265
2021-04-14,EUROB.AT,0.007427393403336459,bank,bank,0.0,0.3949686796988067
2021-04-14,TPEIR.AT,0.0012133746018765943,bank,bank,0.0,1.3177710426531568
2021-04-14,BCP.LS,-0.0026296774638059264,bank,bank,0.0,1.9115242988785415
2021-04-14,NEXI.MI,-0.004929254708428744,payments,payments,0.0,
2021-04-14,WLN.PA,0.007312932081424552,payments,payments,0.0,
2021-04-14,ADYEN.AS,-0.005031042762861564,payments,payments,0.0,
2021-04-14,SWED-A.ST,-0.0070812356473270175,control_bank,control_bank,0.0,-1.1418669440853995
2021-04-14,SHB-A.ST,-0.007831600220644554,control_bank,control_bank,0.0,-1.476933828719851
