LEI_Code,NSA,Period,Item,Label,ASSETS_FV,ASSETS_Stages,Exposure,Financial_instruments,Amount,Fin_end_year,n_quarters,footnote
2138005O9XJIJN4JPN90,GB,201909,2021202,Trading financial liabilities1,0,0,0,0,0,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021203,Financial liabilities designated at fair value through profit or loss,0,0,0,0,3737.8049199756,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021204,Financial liabilities measured at amortised cost,0,0,0,0,519520.402274824,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021205,Non-trading non-derivative financial liabilities measured at a cost-based method1,0,0,0,0,0,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021209,Tax liabilities,0,0,0,0,746.8365350841,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021211,Other liabilities,0,0,0,0,4511.0731144593,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021212,Liabilities included in disposal groups classified as held for sale,0,0,0,0,0,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021213,Haircuts for trading liabilities at fair value1,0,0,0,0,0,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021214,TOTAL LIABILITIES,0,0,0,0,826611.594296614,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,12,196165.441491685,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,21,0,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,22,25820.9150721665,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,30,17453.7169856728,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,31,21.0459169273,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,30,8103.945075768,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,31,5499.3841663148,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,30,37621.2940980095,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,201,31,24933.8274161313,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,30,95175.6393826562,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,31,53886.8217253452,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,30,134548.566710871,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,31,124021.828793086,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,30,220428.966579364,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,31,206285.435840527,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,40,67023.1341876306,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,41,11516.2230878823,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,50,15727.8882963093,0,3,
2138005O9XJIJN4JPN90,GB,201909,2021215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,0,818069.507880144,0,3,
2138005O9XJIJN4JPN90,GB,201912,2021201,Financial liabilities held for trading,0,0,0,0,259527.196614093,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021202,Trading financial liabilities1,0,0,0,0,0,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021203,Financial liabilities designated at fair value through profit or loss,0,0,0,0,3504.6443858721,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021204,Financial liabilities measured at amortised cost,0,0,0,0,526279.763083392,0,4,
2138005O9XJIJN4JPN90,GB,201912,2021205,Non-trading non-derivative financial liabilities measured at a cost-based method1,0,0,0,0,0,0,4,
