LEI_Code,NSA,Period,Item,Label,ASSETS_FV,ASSETS_Stages,Exposure,Financial_instruments,Amount,Fin_end_year,n_quarters,Footnote,Row,Column,Sheet
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,30,171.56578113,0,4,,40,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,202,31,139.51261986,0,4,,41,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,30,1636.79640049,0,4,,42,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,301,31,1419.09339654,0,4,,43,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,30,2064.9561221,0,4,,44,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,401,31,1956.92261651,0,4,,45,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,40,259.22542389,0,4,,46,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,41,259.22542389,0,4,,47,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,50,25.10390727,0,4,,48,6,Liabilities
2138009Y59EAR7H1UO97,LV,202212,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,0,4702.44983594,0,4,,49,6,Liabilities
2138009Y59EAR7H1UO97,LV,202303,2321214,TOTAL LIABILITIES,0,0,0,0,4652.14683434,0,1,,23,7,Liabilities
2138009Y59EAR7H1UO97,LV,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,12,6.79272735,0,1,,31,7,Liabilities
2138009Y59EAR7H1UO97,LV,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,21,0,0,1,,32,7,Liabilities
2138009Y59EAR7H1UO97,LV,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,0,22,0,0,1,,33,7,Liabilities
2138009Y59EAR7H1UO97,LV,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,30,288.53637261,0,1,,34,7,Liabilities
2138009Y59EAR7H1UO97,LV,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,101,31,1.01956943,0,1,,35,7,Liabilities
2138009Y59EAR7H1UO97,LV,202303,2321215,Financial liabilities -  by instrument and by counterparty sector,0,0,102,30,74.03227219,0,1,,36,7,Liabilities
